A,B,C,D,E,F,G,H,I,J
,Severity,Alarm ID,Name,NE Type,Occurred On (NT),Cleared On (NT),Alarm Source,Location Information,MO Name
,Critical,ALM-001,High CPU Usage,USN,2026-09-18 01:15:00,2026-09-18 01:45:00,USN02,Zone A - Core Node 01,MO-USN02-CPU
,Major,ALM-002,Link Degraded,USN,2026-09-18 02:10:00,2026-09-18 02:55:00,USN02,Zone A - Core Node 02,MO-USN02-LNK
,Minor,ALM-003,Memory Threshold,USN,2026-09-18 03:00:00,2026-09-18 03:30:00,USN02,Zone B - Node 04,MO-USN02-MEM
,Major,ALM-004,Interface Down,CloudUSN,2026-09-18 04:00:00,2026-09-18 04:20:00,CloudUSN01,Cloud Zone 1 - VNF-A,MO-CUSN01-IF
,Critical,ALM-005,Disk Space Critical,CloudUSN,2026-09-18 05:10:00,2026-09-18 05:50:00,CloudUSN01,Cloud Zone 1 - VNF-B,MO-CUSN01-DSK
,Minor,ALM-006,Fan Fault,CloudUSN,2026-09-18 06:00:00,,CloudUSN01,Cloud Zone 2 - VNF-C,MO-CUSN01-FAN
,Warning,ALM-007,Temperature High,MME,2026-09-18 07:15:00,2026-09-18 07:45:00,MME01,DC Room 3 - Rack B,MO-MME01-TMP
,Major,ALM-008,Protocol Error,MME,2026-09-18 08:00:00,2026-09-18 08:30:00,MME01,DC Room 3 - Rack C,MO-MME01-PRT
,Minor,ALM-009,S1ap Link Down,MME,2026-09-18 09:00:00,2026-09-18 09:15:00,MME01,DC Room 4 - Rack A,MO-MME01-S1
,Critical,ALM-010,Core Process Crash,MME,2026-09-18 10:00:00,,MME01,DC Room 4 - Rack B,MO-MME01-COR
,Major,ALM-011,GTPC Tunnel Path Broken,EPC,2026-09-18 10:30:00,2026-09-18 11:00:00,EPC-GW01,GW Zone A,MO-EPC-GW01
,Minor,ALM-012,Packet Loss High,EPC,2026-09-18 11:00:00,2026-09-18 11:20:00,EPC-GW01,GW Zone A - Port 5,MO-EPC-GW01-P5
,Warning,ALM-013,Clock Sync Drift,EPC,2026-09-18 12:00:00,2026-09-18 12:30:00,EPC-GW01,GW Zone B,MO-EPC-GW01-CLK
,Major,ALM-014,Data path disconnected--2607,USN,2026-09-18 13:00:00,2026-09-18 13:20:00,USN02,Zone C,MO-USN02-DP
,Critical,ALM-015,Power Supply Failure,USN,2026-09-18 14:00:00,,USN02,Zone A - Core Node 01 PSU,MO-USN02-PSU
,Minor,ALM-016,Cooling Fault,CloudUSN,2026-09-18 15:00:00,2026-09-18 15:25:00,CloudUSN02,Cloud Zone 3 - VNF-D,MO-CUSN02-COL
,Major,ALM-017,Signalling path disconnected,EPC,2026-09-18 15:30:00,2026-09-18 15:50:00,EPC-GW01,GW Zone C,MO-EPC-GW01-SIG
,Warning,ALM-018,Buffer Overflow,CloudUSN,2026-09-18 16:00:00,2026-09-18 16:20:00,CloudUSN02,Cloud Zone 3 - VNF-E,MO-CUSN02-BUF
